Algorithm_Name,Queens,Iterations,Time,H_Value,Solution_Found
hill-climbing,4,152,0.0050199031829833984,0,True
simulated-annealing,4,103,0.0039598941802978516,0,True
genetic,4,56,0.047415971755981445,0,True
hill-climbing,8,10000,0.7812955379486084,1,False
simulated-annealing,8,10000,0.8169937133789062,1,False
genetic,8,380,0.7537758350372314,1,False
hill-climbing,10,10000,0.8992125988006592,1,False
simulated-annealing,10,10000,1.0244390964508057,2,False
genetic,10,380,1.238274097442627,2,False
hill-climbing,12,10000,1.1239919662475586,4,False
simulated-annealing,12,10000,1.2706398963928223,3,False
genetic,12,380,1.5359783172607422,1,False
hill-climbing,15,10000,1.7571613788604736,6,False
simulated-annealing,15,10000,2.3391847610473633,5,False
genetic,15,380,2.4920430183410645,2,False
hill-climbing,4,85,0.003011465072631836,0,True
simulated-annealing,4,1401,0.0528414249420166,0,True
genetic,4,4,0.0029938220977783203,0,True
hill-climbing,8,10000,0.6896708011627197,2,False
simulated-annealing,8,10000,0.7454433441162109,1,False
genetic,8,380,0.7828426361083984,1,False
hill-climbing,10,10000,0.8931884765625,2,False
simulated-annealing,10,10000,0.8801634311676025,2,False
genetic,10,380,1.0996167659759521,1,False
hill-climbing,12,10000,1.1127586364746094,4,False
simulated-annealing,12,10000,1.1646630764007568,4,False
genetic,12,380,1.715646743774414,1,False
hill-climbing,15,10000,1.6242859363555908,5,False
simulated-annealing,15,10000,1.5767099857330322,6,False
genetic,15,380,2.2538444995880127,1,False
hill-climbing,4,81,0.0020313262939453125,0,True
simulated-annealing,4,5,0.0009641647338867188,0,True
genetic,4,25,0.020459890365600586,0,True
hill-climbing,8,10000,0.7337183952331543,1,False
simulated-annealing,8,10000,0.7622785568237305,2,False
genetic,8,42,0.12169861793518066,0,True
hill-climbing,10,10000,0.9372804164886475,3,False
simulated-annealing,10,10000,0.9807264804840088,3,False
genetic,10,380,1.202277660369873,1,False
hill-climbing,12,10000,1.2733263969421387,3,False
simulated-annealing,12,10000,1.2557733058929443,3,False
genetic,12,309,1.6280276775360107,0,True
hill-climbing,15,10000,1.6424686908721924,6,False
simulated-annealing,15,10000,1.5241076946258545,6,False
genetic,15,380,2.1938560009002686,1,False
hill-climbing,4,414,0.014991521835327148,0,True
simulated-annealing,4,101,0.002985715866088867,0,True
genetic,4,3,0.001993417739868164,0,True
hill-climbing,8,10000,0.6589908599853516,1,False
simulated-annealing,8,10000,0.8439910411834717,2,False
genetic,8,380,0.8199193477630615,1,False
hill-climbing,10,10000,0.9257276058197021,2,False
simulated-annealing,10,10000,0.9233894348144531,3,False
genetic,10,380,1.1171934604644775,1,False
hill-climbing,12,10000,1.0187487602233887,2,False
simulated-annealing,12,10000,1.0919973850250244,4,False
genetic,12,380,1.8094351291656494,1,False
hill-climbing,15,10000,1.6809086799621582,5,False
simulated-annealing,15,10000,1.7467803955078125,5,False
genetic,15,380,2.3466129302978516,2,False
hill-climbing,4,123,0.003991842269897461,0,True
simulated-annealing,4,458,0.017951250076293945,0,True
genetic,4,3,0.001997232437133789,0,True
hill-climbing,8,10000,0.6882140636444092,1,False
simulated-annealing,8,10000,0.8085215091705322,1,False
genetic,8,380,0.7773284912109375,1,False
hill-climbing,10,10000,0.9095702171325684,3,False
simulated-annealing,10,10000,1.1656489372253418,1,False
genetic,10,380,1.1291043758392334,1,False
hill-climbing,12,10000,1.0906381607055664,3,False
simulated-annealing,12,10000,1.1378211975097656,4,False
genetic,12,328,1.2593138217926025,0,True
hill-climbing,15,10000,1.5739190578460693,6,False
simulated-annealing,15,10000,1.7273573875427246,5,False
genetic,15,380,2.267402172088623,1,False
hill-climbing,4,60,0.0010273456573486328,0,True
simulated-annealing,4,33,0.001027822494506836,0,True
genetic,4,20,0.01723623275756836,0,True
hill-climbing,8,10000,0.6968028545379639,1,False
simulated-annealing,8,10000,0.6998586654663086,1,False
genetic,8,182,0.3513481616973877,0,True
hill-climbing,10,10000,0.8431525230407715,2,False
simulated-annealing,10,10000,0.8884022235870361,2,False
genetic,10,168,0.5113699436187744,0,True
hill-climbing,12,10000,1.079169511795044,2,False
simulated-annealing,12,10000,1.2222490310668945,3,False
genetic,12,380,1.6217918395996094,2,False
hill-climbing,15,10000,1.5346112251281738,6,False
simulated-annealing,15,10000,1.497398853302002,6,False
genetic,15,380,2.339956521987915,2,False
hill-climbing,4,152,0.004990100860595703,0,True
simulated-annealing,4,16,0.0009965896606445312,0,True
genetic,4,68,0.06726336479187012,0,True
hill-climbing,8,10000,0.7099223136901855,1,False
simulated-annealing,8,10000,0.7516329288482666,2,False
genetic,8,380,0.751723051071167,1,False
hill-climbing,10,10000,1.009521245956421,2,False
simulated-annealing,10,10000,1.134659767150879,1,False
genetic,10,380,1.125016689300537,2,False
hill-climbing,12,10000,1.374701976776123,2,False
simulated-annealing,12,10000,1.3207347393035889,2,False
genetic,12,380,1.4929888248443604,1,False
hill-climbing,15,10000,1.481067419052124,5,False
simulated-annealing,15,10000,1.5379676818847656,7,False
genetic,15,380,2.225247383117676,1,False
hill-climbing,4,54,0.0020210742950439453,0,True
simulated-annealing,4,55,0.002518892288208008,0,True
genetic,4,3,0.002027750015258789,0,True
hill-climbing,8,10000,0.6844491958618164,2,False
simulated-annealing,8,10000,0.6753189563751221,1,False
genetic,8,80,0.1556713581085205,0,True
hill-climbing,10,10000,0.8544433116912842,1,False
simulated-annealing,10,10000,0.8746037483215332,3,False
genetic,10,380,1.0518321990966797,1,False
hill-climbing,12,10000,1.0614628791809082,4,False
simulated-annealing,12,10000,1.1112384796142578,4,False
genetic,12,380,1.49410080909729,1,False
hill-climbing,15,10000,1.4273524284362793,4,False
simulated-annealing,15,10000,1.4525573253631592,5,False
genetic,15,380,2.3279945850372314,1,False
hill-climbing,4,36,0.0009982585906982422,0,True
simulated-annealing,4,209,0.011967658996582031,0,True
genetic,4,76,0.08728528022766113,0,True
hill-climbing,8,10000,0.6729838848114014,1,False
simulated-annealing,8,10000,0.6781718730926514,1,False
genetic,8,330,0.6675684452056885,0,True
hill-climbing,10,10000,0.8589842319488525,2,False
simulated-annealing,10,10000,0.8626224994659424,3,False
genetic,10,159,0.43653178215026855,0,True
hill-climbing,12,10000,1.1516976356506348,4,False
simulated-annealing,12,10000,1.177821159362793,2,False
genetic,12,380,1.5142924785614014,1,False
hill-climbing,15,10000,1.42460036277771,6,False
simulated-annealing,15,10000,1.4523744583129883,6,False
genetic,15,380,2.1139254570007324,2,False
hill-climbing,4,43,0.0009965896606445312,0,True
simulated-annealing,4,84,0.00299072265625,0,True
genetic,4,9,0.008006811141967773,0,True
hill-climbing,8,10000,0.641331672668457,1,False
simulated-annealing,8,10000,0.6678564548492432,2,False
genetic,8,380,0.7473404407501221,1,False
hill-climbing,10,10000,0.961329460144043,3,False
simulated-annealing,10,10000,0.8984394073486328,2,False
genetic,10,380,1.0734448432922363,1,False
hill-climbing,12,10000,1.1367425918579102,3,False
simulated-annealing,12,10000,1.1373636722564697,3,False
genetic,12,380,1.5668423175811768,1,False
hill-climbing,15,10000,1.6263580322265625,6,False
simulated-annealing,15,10000,1.5364723205566406,5,False
genetic,15,380,2.2611982822418213,2,False
hill-climbing,4,8,0.0,0,True
simulated-annealing,4,112,0.002991199493408203,0,True
genetic,4,5,0.003960132598876953,0,True
hill-climbing,8,10000,0.6554849147796631,1,False
simulated-annealing,8,10000,0.7506942749023438,2,False
genetic,8,380,0.8997254371643066,1,False
hill-climbing,10,10000,1.0059771537780762,2,False
simulated-annealing,10,10000,0.9658999443054199,2,False
genetic,10,380,1.075981855392456,1,False
hill-climbing,12,10000,1.150604486465454,4,False
simulated-annealing,12,10000,1.1130361557006836,4,False
genetic,12,380,1.42594575881958,1,False
hill-climbing,15,10000,1.4711556434631348,7,False
simulated-annealing,15,10000,1.4620256423950195,5,False
genetic,15,380,2.099165916442871,2,False
hill-climbing,4,64,0.0020225048065185547,0,True
simulated-annealing,4,53,0.0010013580322265625,0,True
genetic,4,5,0.003992319107055664,0,True
hill-climbing,8,10000,0.6650466918945312,1,False
simulated-annealing,8,10000,0.6565663814544678,1,False
genetic,8,145,0.2769148349761963,0,True
hill-climbing,10,10000,0.8606705665588379,3,False
simulated-annealing,10,10000,0.8532865047454834,3,False
genetic,10,380,1.0710556507110596,1,False
hill-climbing,12,10000,1.1547911167144775,3,False
simulated-annealing,12,10000,1.1413218975067139,3,False
genetic,12,380,1.4221372604370117,2,False
hill-climbing,15,10000,1.4197006225585938,5,False
simulated-annealing,15,10000,1.4518849849700928,5,False
genetic,15,380,2.1855902671813965,2,False
hill-climbing,4,121,0.003992319107055664,0,True
simulated-annealing,4,45,0.0019941329956054688,0,True
genetic,4,16,0.014217138290405273,0,True
hill-climbing,8,10000,0.6537904739379883,1,False
simulated-annealing,8,10000,0.6598870754241943,1,False
genetic,8,26,0.04989480972290039,0,True
hill-climbing,10,10000,0.8445744514465332,2,False
simulated-annealing,10,10000,0.9291501045227051,2,False
genetic,10,380,1.044145107269287,1,False
hill-climbing,12,10000,1.0465302467346191,4,False
simulated-annealing,12,10000,1.0609087944030762,2,False
genetic,12,380,1.4377586841583252,1,False
hill-climbing,15,10000,1.4038422107696533,6,False
simulated-annealing,15,10000,1.5489237308502197,5,False
genetic,15,380,2.3143835067749023,1,False
hill-climbing,4,84,0.0020275115966796875,0,True
simulated-annealing,4,5,0.0,0,True
genetic,4,30,0.023144006729125977,0,True
hill-climbing,8,1711,0.11224246025085449,0,True
simulated-annealing,8,10000,0.6590409278869629,1,False
genetic,8,363,0.6958637237548828,0,True
hill-climbing,10,10000,0.8125083446502686,3,False
simulated-annealing,10,10000,0.8542447090148926,3,False
genetic,10,380,1.0631279945373535,1,False
hill-climbing,12,10000,1.0473792552947998,3,False
simulated-annealing,12,10000,1.0917963981628418,4,False
genetic,12,380,1.508326768875122,1,False
hill-climbing,15,10000,1.4055113792419434,5,False
simulated-annealing,15,10000,1.4523024559020996,6,False
genetic,15,380,2.1769797801971436,1,False
hill-climbing,4,55,0.0019943714141845703,0,True
simulated-annealing,4,520,0.01898646354675293,0,True
genetic,4,0,0.0,0,True
hill-climbing,8,10000,0.6680281162261963,1,False
simulated-annealing,8,10000,0.6798567771911621,1,False
genetic,8,380,0.7435581684112549,1,False
hill-climbing,10,10000,0.8534927368164062,3,False
simulated-annealing,10,10000,0.8573272228240967,1,False
genetic,10,380,1.2111554145812988,3,False
hill-climbing,12,10000,1.0547025203704834,4,False
simulated-annealing,12,10000,1.0467634201049805,4,False
genetic,12,38,0.14445090293884277,0,True
hill-climbing,15,10000,1.4032337665557861,5,False
simulated-annealing,15,10000,1.4346487522125244,4,False
genetic,15,380,2.1075494289398193,1,False
hill-climbing,4,332,0.011000633239746094,0,True
simulated-annealing,4,4,0.0,0,True
genetic,4,45,0.03746819496154785,0,True
hill-climbing,8,10000,0.6586248874664307,1,False
simulated-annealing,8,10000,0.6468343734741211,1,False
genetic,8,365,0.7200720310211182,0,True
hill-climbing,10,10000,0.828948974609375,3,False
simulated-annealing,10,10000,0.895247220993042,2,False
genetic,10,380,1.024745225906372,1,False
hill-climbing,12,10000,1.0253660678863525,3,False
simulated-annealing,12,10000,1.0537474155426025,4,False
genetic,12,380,1.4032554626464844,1,False
hill-climbing,15,10000,1.4168012142181396,5,False
simulated-annealing,15,10000,1.4499783515930176,6,False
genetic,15,380,2.112759828567505,1,False
hill-climbing,4,17,0.0009975433349609375,0,True
simulated-annealing,4,33,0.0010237693786621094,0,True
genetic,4,20,0.015959978103637695,0,True
hill-climbing,8,10000,0.6451456546783447,1,False
simulated-annealing,8,10000,0.6656558513641357,1,False
genetic,8,380,0.7384364604949951,1,False
hill-climbing,10,10000,0.8518264293670654,2,False
simulated-annealing,10,10000,0.8636817932128906,2,False
genetic,10,380,1.0387871265411377,1,False
hill-climbing,12,10000,1.0296926498413086,3,False
simulated-annealing,12,10000,1.079287052154541,4,False
genetic,12,380,1.4238028526306152,1,False
hill-climbing,15,10000,1.4338574409484863,6,False
simulated-annealing,15,10000,1.4347610473632812,5,False
genetic,15,380,2.1383252143859863,2,False
hill-climbing,4,81,0.001992940902709961,0,True
simulated-annealing,4,23,0.0,0,True
genetic,4,40,0.03242921829223633,0,True
hill-climbing,8,10000,0.6629352569580078,1,False
simulated-annealing,8,10000,0.6677649021148682,1,False
genetic,8,52,0.10725522041320801,0,True
hill-climbing,10,10000,0.8282363414764404,2,False
simulated-annealing,10,10000,0.8466999530792236,3,False
genetic,10,156,0.42508554458618164,0,True
hill-climbing,12,10000,1.0327410697937012,3,False
simulated-annealing,12,10000,1.0652015209197998,3,False
genetic,12,207,0.7738957405090332,0,True
hill-climbing,15,10000,1.401263952255249,5,False
simulated-annealing,15,10000,1.459812879562378,3,False
genetic,15,380,2.0604376792907715,1,False
hill-climbing,4,62,0.001996755599975586,0,True
simulated-annealing,4,10,0.0,0,True
genetic,4,5,0.003022432327270508,0,True
hill-climbing,8,10000,0.6700634956359863,1,False
simulated-annealing,8,10000,0.6698224544525146,1,False
genetic,8,380,0.7309060096740723,1,False
hill-climbing,10,10000,0.8149416446685791,3,False
simulated-annealing,10,10000,0.8342187404632568,2,False
genetic,10,380,1.0517656803131104,2,False
hill-climbing,12,10000,1.0522310733795166,4,False
simulated-annealing,12,10000,1.0567195415496826,3,False
genetic,12,380,1.4238181114196777,2,False
hill-climbing,15,10000,1.3914251327514648,4,False
simulated-annealing,15,10000,1.4226322174072266,5,False
genetic,15,380,2.385988473892212,1,False
hill-climbing,4,7,0.0,0,True
simulated-annealing,4,431,0.01695728302001953,0,True
genetic,4,4,0.0039899349212646484,0,True
hill-climbing,8,10000,0.715203046798706,1,False
simulated-annealing,8,10000,0.8235416412353516,1,False
genetic,8,172,0.3724648952484131,0,True
hill-climbing,10,10000,0.8094165325164795,3,False
simulated-annealing,10,10000,0.8374545574188232,3,False
genetic,10,380,1.045562982559204,1,False
hill-climbing,12,10000,1.0329620838165283,4,False
simulated-annealing,12,10000,1.072389841079712,3,False
genetic,12,380,1.424262523651123,2,False
hill-climbing,15,10000,1.4281117916107178,5,False
simulated-annealing,15,10000,1.4505367279052734,6,False
genetic,15,380,2.109943389892578,1,False
hill-climbing,4,201,0.007979393005371094,0,True
simulated-annealing,4,174,0.006014823913574219,0,True
genetic,4,10,0.007009029388427734,0,True
hill-climbing,8,10000,0.6470277309417725,2,False
simulated-annealing,8,10000,0.6611955165863037,1,False
genetic,8,101,0.19855308532714844,0,True
hill-climbing,10,10000,0.8201162815093994,2,False
simulated-annealing,10,10000,0.8359072208404541,2,False
genetic,10,380,1.0254473686218262,1,False
hill-climbing,12,10000,1.0598230361938477,4,False
simulated-annealing,12,10000,1.0668854713439941,3,False
genetic,12,380,1.414017677307129,1,False
hill-climbing,15,10000,1.4383482933044434,6,False
simulated-annealing,15,10000,1.4392762184143066,6,False
genetic,15,380,2.108290195465088,1,False
hill-climbing,4,454,0.015961170196533203,0,True
simulated-annealing,4,19,0.000997781753540039,0,True
genetic,4,24,0.0189511775970459,0,True
hill-climbing,8,10000,0.6382796764373779,1,False
simulated-annealing,8,10000,0.6699817180633545,1,False
genetic,8,115,0.22604775428771973,0,True
hill-climbing,10,10000,0.8392143249511719,2,False
simulated-annealing,10,10000,0.8567075729370117,3,False
genetic,10,107,0.2948119640350342,0,True
hill-climbing,12,10000,1.036623477935791,3,False
simulated-annealing,12,10000,1.04978609085083,4,False
genetic,12,380,1.4357221126556396,2,False
hill-climbing,15,10000,1.4395418167114258,5,False
simulated-annealing,15,10000,1.4599716663360596,5,False
genetic,15,380,2.1180429458618164,2,False
hill-climbing,4,203,0.006010770797729492,0,True
simulated-annealing,4,111,0.005960702896118164,0,True
genetic,4,2,0.0020134449005126953,0,True
hill-climbing,8,10000,0.6338381767272949,1,False
simulated-annealing,8,10000,0.6530451774597168,1,False
genetic,8,380,0.7328546047210693,1,False
hill-climbing,10,10000,0.8359541893005371,2,False
simulated-annealing,10,10000,0.8397150039672852,3,False
genetic,10,101,0.2798910140991211,0,True
hill-climbing,12,10000,1.0447170734405518,3,False
simulated-annealing,12,10000,1.0349116325378418,3,False
genetic,12,380,1.4223082065582275,1,False
hill-climbing,15,10000,1.4341731071472168,5,False
simulated-annealing,15,10000,1.447490930557251,5,False
genetic,15,380,2.1084320545196533,2,False
hill-climbing,4,28,0.0,0,True
simulated-annealing,4,17,0.0,0,True
genetic,4,32,0.02544879913330078,0,True
hill-climbing,8,10000,0.6297295093536377,1,False
simulated-annealing,8,10000,0.6615238189697266,1,False
genetic,8,380,0.7320313453674316,1,False
hill-climbing,10,10000,0.8442668914794922,3,False
simulated-annealing,10,10000,0.8427309989929199,2,False
genetic,10,380,1.0333549976348877,2,False
hill-climbing,12,10000,1.061981439590454,3,False
simulated-annealing,12,10000,1.0848140716552734,4,False
genetic,12,380,1.4031982421875,1,False
hill-climbing,15,10000,1.4293897151947021,5,False
simulated-annealing,15,10000,1.4706473350524902,6,False
genetic,15,380,2.096648931503296,1,False
hill-climbing,4,469,0.01994776725769043,0,True
simulated-annealing,4,108,0.0035331249237060547,0,True
genetic,4,8,0.008012056350708008,0,True
hill-climbing,8,10000,0.6624031066894531,1,False
simulated-annealing,8,10000,0.6664299964904785,1,False
genetic,8,380,0.7123470306396484,1,False
hill-climbing,10,10000,0.8583223819732666,3,False
simulated-annealing,10,10000,0.8481059074401855,3,False
genetic,10,380,1.0682644844055176,1,False
hill-climbing,12,10000,1.0983262062072754,3,False
simulated-annealing,12,10000,1.0920896530151367,4,False
genetic,12,380,1.3994154930114746,1,False
hill-climbing,15,10000,1.4617691040039062,5,False
simulated-annealing,15,10000,1.459618330001831,5,False
genetic,15,380,2.1052918434143066,1,False
hill-climbing,4,368,0.011970043182373047,0,True
simulated-annealing,4,37,0.001995563507080078,0,True
genetic,4,20,0.01898670196533203,0,True
hill-climbing,8,10000,0.6681046485900879,1,False
simulated-annealing,8,10000,0.6736750602722168,1,False
genetic,8,380,0.7304632663726807,1,False
hill-climbing,10,10000,0.8352153301239014,2,False
simulated-annealing,10,10000,0.8678548336029053,2,False
genetic,10,380,1.068833351135254,1,False
hill-climbing,12,10000,1.071885108947754,4,False
simulated-annealing,12,10000,1.0777535438537598,3,False
genetic,12,380,1.400116205215454,1,False
hill-climbing,15,10000,1.4439094066619873,6,False
simulated-annealing,15,10000,1.4574220180511475,6,False
genetic,15,380,2.102036237716675,1,False
hill-climbing,4,234,0.007980585098266602,0,True
simulated-annealing,4,32,0.0009999275207519531,0,True
genetic,4,3,0.0030198097229003906,0,True
hill-climbing,8,7769,0.5138421058654785,0,True
simulated-annealing,8,10000,0.6523013114929199,1,False
genetic,8,74,0.14518117904663086,0,True
hill-climbing,10,10000,0.857597827911377,2,False
simulated-annealing,10,10000,0.8747978210449219,3,False
genetic,10,380,1.06160306930542,1,False
hill-climbing,12,10000,1.0757865905761719,4,False
simulated-annealing,12,10000,1.0784707069396973,3,False
genetic,12,296,1.1225967407226562,0,True
hill-climbing,15,10000,1.4695351123809814,5,False
simulated-annealing,15,10000,1.4727580547332764,6,False
genetic,15,380,2.1354787349700928,1,False
hill-climbing,4,311,0.010974645614624023,0,True
simulated-annealing,4,40,0.0010006427764892578,0,True
genetic,4,2,0.0019941329956054688,0,True
hill-climbing,8,10000,0.6555798053741455,2,False
simulated-annealing,8,5587,0.37297773361206055,0,True
genetic,8,367,0.700326681137085,0,True
hill-climbing,10,10000,0.8420088291168213,2,False
simulated-annealing,10,10000,0.8545618057250977,2,False
genetic,10,231,0.6647434234619141,0,True
hill-climbing,12,10000,1.055471658706665,3,False
simulated-annealing,12,10000,1.0801374912261963,4,False
genetic,12,380,1.4326517581939697,1,False
hill-climbing,15,10000,1.4409172534942627,5,False
simulated-annealing,15,10000,1.4243361949920654,6,False
genetic,15,380,2.1759591102600098,1,False
hill-climbing,4,370,0.012968301773071289,0,True
simulated-annealing,4,77,0.002991914749145508,0,True
genetic,4,55,0.04242229461669922,0,True
hill-climbing,8,10000,0.6669936180114746,1,False
simulated-annealing,8,10000,0.6884574890136719,1,False
genetic,8,46,0.10124397277832031,0,True
hill-climbing,10,10000,1.1359844207763672,2,False
simulated-annealing,10,10000,1.065314531326294,2,False
genetic,10,129,0.365126371383667,0,True
hill-climbing,12,10000,1.2489337921142578,3,False
simulated-annealing,12,10000,1.0760715007781982,4,False
genetic,12,380,1.4240918159484863,1,False
hill-climbing,15,10000,1.437119483947754,5,False
simulated-annealing,15,10000,1.4506256580352783,5,False
genetic,15,380,2.141979694366455,1,False
hill-climbing,4,20,0.0010230541229248047,0,True
simulated-annealing,4,50,0.00099945068359375,0,True
genetic,4,53,0.043910980224609375,0,True
hill-climbing,8,10000,0.6428196430206299,1,False
simulated-annealing,8,10000,0.6728272438049316,1,False
genetic,8,380,0.7280254364013672,1,False
hill-climbing,10,10000,0.857884407043457,3,False
simulated-annealing,10,10000,0.8705804347991943,3,False
genetic,10,380,1.1024935245513916,1,False
hill-climbing,12,10000,1.170630931854248,3,False
simulated-annealing,12,10000,1.0920119285583496,3,False
genetic,12,380,1.441237211227417,1,False
hill-climbing,15,10000,1.4466500282287598,5,False
simulated-annealing,15,10000,1.5980360507965088,6,False
genetic,15,380,2.2425661087036133,1,False
